course,question,optionA,optionB,optionC,optionD,correctAnswer,,,,,,,,,,,,,
MTS104,The point (-2, 4) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,B,,,,,,,,,,,,
MTS104,The distance between (2, 3) and (2, -3) is:,6,5,4,v10,A,,,,,,,,,,,
MTS104,The point (1, -1) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,D,,,,,,,,,,,,
MTS104,The perpendicular distance of (-3, 2) from the y-axis is:,3,-3,2,v13,A,,,,,,,,,,,,
MTS104,The point (0, 0) lies:,On the x-axis,On the y-axis,At the origin,On both axes,C,,,,,,,,,,,,
MTS104,The point (-5, -5) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,C,,,,,,,,,,,,
MTS104,The distance of (4, 0) from the y-axis is:,4,0,5,v16,A,,,,,,,,,,,,
MTS104,The point (6, 2) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,A,,,,,,,,,,,,
MTS104,The point (-1, -3) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,C,,,,,,,,,,,,
MTS104,The distance between (0, 0) and (-3, -4) is:,5,6,7,8,A,,,,,,,,,,,
MTS104,The point (0, 6) lies:,On the x-axis,On the y-axis,In the first quadrant,In the second quadrant,B,,,,,,,,,,,,
MTS104,The point (-7, 0) lies:,On the x-axis,On the y-axis,In the third quadrant,In the fourth quadrant,A,,,,,,,,,,,,
MTS104,The signs of coordinates in the third quadrant are:,(+, +),(-, +),(+, -),(-, -),D,,,,,,,,,
MTS104,The point (4, 4) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,A,,,,,,,,,,,,
MTS104,The perpendicular distance of (5, -2) from the x-axis is:,5,2,-2,v29,C,,,,,,,,,,,,
MTS104,The point (-3, -1) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,C,,,,,,,,,,,,
MTS104,The distance of (0, -5) from the x-axis is:,0,5,-5,v25,B,,,,,,,,,,,,
MTS104,The point (2, -4) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,D,,,,,,,,,,,,
MTS104,The point (-2, 3) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,B,,,,,,,,,,,,
MTS104,The distance between (1, 0) and (0, 1) is:,v2,1,2,v3,A,,,,,,,,,,,
MTS104,The point (0, -2) lies:,On the x-axis,On the y-axis,In the third quadrant,In the fourth quadrant,B,,,,,,,,,,,,
MTS104,The point (5, 0) lies:,On the x-axis,On the y-axis,In the first quadrant,In the fourth quadrant,A,,,,,,,,,,,,
MTS104,The signs of coordinates in the fourth quadrant are:,(+, +),(-, +),(+, -),(-, -),C,,,,,,,,,
MTS104,The point (3, 3) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,A,,,,,,,,,,,,
MTS104,The perpendicular distance of (-4, 3) from the y-axis is:,4,-4,3,v25,A,,,,,,,,,,,,
MTS104,The point (-5, 2) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,B,,,,,,,,,,,,
MTS104,The distance of (3, 0) from the x-axis is:,0,3,5,v9,A,,,,,,,,,,,,
MTS104,The point (2, -5) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,D,,,,,,,,,,,,
MTS104,The point (-1, 4) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,B,,,,,,,,,,,,
MTS104,The distance between (-2, 3) and (3, -2) is:,5,v50,7,v25,B,,,,,,,,,,,
MTS104,The point (0, 3) lies:,On the x-axis,On the y-axis,In the first quadrant,In the second quadrant,B,,,,,,,,,,,,
MTS104,The point (-4, 0) lies:,On the x-axis,On the y-axis,In the third quadrant,In the fourth quadrant,A,,,,,,,,,,,,
MTS104,The signs of coordinates in the second quadrant are:,(+, +),(-, +),(+, -),(-, -),B,,,,,,,,,
MTS104,The point (1, 1) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,A,,,,,,,,,,,,
MTS104,The perpendicular distance of (0, -4) from the x-axis is:,0,4,-4,v16,B,,,,,,,,,,,,
MTS104,The point (-3, -3) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,C,,,,,,,,,,,,
MTS104,The distance of (5, 0) from the y-axis is:,5,0,v25,3,A,,,,,,,,,,,,
MTS104,The point (4, 2) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,A,,,,,,,,,,,,
MTS104,The point (-2, -4) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,C,,,,,,,,,,,,
MTS104,The distance between (0, 0) and (5, 12) is:,13,14,15,16,A,,,,,,,,,,,
MTS104,The point (0, -4) lies:,On the x-axis,On the y-axis,In the third quadrant,In the fourth quadrant,B,,,,,,,,,,,,
MTS104,The point (6, 0) lies:,On the x-axis,On the y-axis,In the first quadrant,In the fourth quadrant,A,,,,,,,,,,,,
MTS104,The signs of coordinates in the first quadrant are:,(+, +),(-, +),(+, -),(-, -),A,,,,,,,,,
MTS104,The point (-4, 5) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,B,,,,,,,,,,,,
MTS104,The perpendicular distance of (3, 4) from the x-axis is:,3,4,5,v25,B,,,,,,,,,,,,
MTS104,The point (-5, -2) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,C,,,,,,,,,,,,
MTS104,The distance of (0, 3) from the x-axis is:,0,3,5,v9,B,,,,,,,,,,,,
MTS104,The point (3, -4) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,D,,,,,,,,,,,,
MTS104,The point (-1, 2) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,B,,,,,,,,,,,,
MTS104,The distance between (2, 2) and (2, -2) is:,4,5,6,v8,A,,,,,,,,,,,
MTS104,The point (0, 2) lies:,On the x-axis,On the y-axis,In the first quadrant,In the second quadrant,B,,,,,,,,,,,,
MTS104,The point (-3, 0) lies:,On the x-axis,On the y-axis,In the third quadrant,In the fourth quadrant,A,,,,,,,,,,,,
MTS104,The signs of coordinates in the third quadrant are:,(+, +),(-, +),(+, -),(-, -),D,,,,,,,,,
MTS104,The point (5, 5) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,A,,,,,,,,,,,,
MTS104,The perpendicular distance of (-2, -3) from the y-axis is:,2,-2,3,v13,A,,,,,,,,,,,,
MTS104,The point (-4, 4) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,B,,,,,,,,,,,,
MTS104,The distance of (0, -4) from the x-axis is:,0,4,-4,v16,B,,,,,,,,,,,,
MTS104,The point (2, -3) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,D,,,,,,,,,,,,
MTS104,The point (-2, 2) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,B,,,,,,,,,,,,
MTS104,The distance between (1, 1) and (-1, -1) is:,2v2,2,v2,4,A,,,,,,,,,,,
MTS104,The point (0, -5) lies:,On the x-axis,On the y-axis,In the third quadrant,In the fourth quadrant,B,,,,,,,,,,,,
MTS104,The point (4, 0) lies:,On the x-axis,On the y-axis,In the first quadrant,In the fourth quadrant,A,,,,,,,,,,,,
MTS104,The signs of coordinates in the fourth quadrant are:,(+, +),(-, +),(+, -),(-, -),C,,,,,,,,,
MTS104,The point (2, 2) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,A,,,,,,,,,,,,
MTS104,The perpendicular distance of (5, 3) from the y-axis is:,5,3,v34,8,A,,,,,,,,,,,,
MTS104,The point (-3, 1) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,B,,,,,,,,,,,,
MTS104,The distance of (2, 0) from the y-axis is:,2,0,v4,3,A,,,,,,,,,,,,
MTS104,The point (3, -2) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,D,,,,,,,,,,,,
MTS104,The point (-5, 4) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,B,,,,,,,,,,,,
MTS104,The distance between (0, 0) and (4, 3) is:,5,6,7,8,A,,,,,,,,,,,
MTS104,The point (0, 1) lies:,On the x-axis,On the y-axis,In the first quadrant,In the second quadrant,B,,,,,,,,,,,,
MTS104,The point (-2, 0) lies:,On the x-axis,On the y-axis,In the third quadrant,In the fourth quadrant,A,,,,,,,,,,,,
MTS104,The signs of coordinates in the second quadrant are:,(+, +),(-, +),(+, -),(-, -),B,,,,,,,,,
MTS104,The point (4, 4) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,A,,,,,,,,,,,,
MTS104,The perpendicular distance of (0, -3) from the x-axis is:,0,3,-3,v9,B,,,,,,,,,,,,
MTS104,The point (-4, -2) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,C,,,,,,,,,,,,
MTS104,The distance of (6, 0) from the y-axis is:,6,0,v36,3,A,,,,,,,,,,,,
MTS104,The point (5, 1) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,A,,,,,,,,,,,,
MTS104,The point (-3, -4) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,C,,,,,,,,,,,,
MTS104,The distance between (1, 2) and (4, 2) is:,3,4,5,v5,A,,,,,,,,,,,
MTS104,The point (0, -6) lies:,On the x-axis,On the y-axis,In the third quadrant,In the fourth quadrant,B,,,,,,,,,,,,
MTS104,The point (3, 0) lies:,On the x-axis,On the y-axis,In the first quadrant,In the fourth quadrant,A,,,,,,,,,,,,
MTS104,The signs of coordinates in the first quadrant are:,(+, +),(-, +),(+, -),(-, -),A,,,,,,,,,
MTS104,The point (-2, 5) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,B,,,,,,,,,,,,
MTS104,The perpendicular distance of (4, -2) from the x-axis is:,4,2,-2,v20,C,,,,,,,,,,,,
MTS104,The point (-5, -1) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,C,,,,,,,,,,,,
MTS104,The distance of (0, 5) from the x-axis is:,0,5,v25,3,B,,,,,,,,,,,,
MTS104,The point (2, -1) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,D,,,,,,,,,,,,
MTS104,The point (-1, 3) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,B,,,,,,,,,,,,
MTS104,The distance between (0, 0) and (5, -12) is:,13,14,15,16,A,,,,,,,,,,,
MTS104,The point (0, 4) lies:,On the x-axis,On the y-axis,In the first quadrant,In the second quadrant,B,,,,,,,,,,,,
MTS104,The point (-5, 0) lies:,On the x-axis,On the y-axis,In the third quadrant,In the fourth quadrant,A,,,,,,,,,,,,
MTS104,The signs of coordinates in the third quadrant are:,(+, +),(-, +),(+, -),(-, -),D,,,,,,,,,
MTS104,The point (3, 3) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,A,,,,,,,,,,,,
MTS104,The perpendicular distance of (-3, 4) from the y-axis is:,3,-3,4,v25,A,,,,,,,,,,,,
MTS104,The point (-4, 2) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,B,,,,,,,,,,,,
MTS104,The distance of (0, -3) from the x-axis is:,0,3,-3,v9,B,,,,,,,,,,,,
MTS104,The point (4, -5) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,D,,,,,,,,,,,,
MTS104,The point (-2, 1) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,B,,,,,,,,,,,,
MTS104,The distance between (2, 0) and (0, 2) is:,v8,2,v2,4,A,,,,,,,,,,,
MTS104,The point (0, -1) lies:,On the x-axis,On the y-axis,In the third quadrant,In the fourth quadrant,B,,,,,,,,,,,,
MTS104,The point (6, 0) lies:,On the x-axis,On the y-axis,In the first quadrant,In the fourth quadrant,A,,,,,,,,,,,,
MTS104,The signs of coordinates in the fourth quadrant are:,(+, +),(-, +),(+, -),(-, -),C,,,,,,,,,
MTS104,The point (2, 2) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,A,,,,,,,,,,,,
MTS104,The perpendicular distance of (5, -3) from the y-axis is:,5,3,-3,v34,A,,,,,,,,,,,,
MTS104,The point (-3, 4) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,B,,,,,,,,,,,,
MTS104,The distance of (4, 0) from the x-axis is:,0,4,v16,3,A,,,,,,,,,,,,
MTS104,The point (3, -1) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,D,,,,,,,,,,,,
MTS104,The point (-5, 3) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,B,,,,,,,,,,,,
MTS104,The distance between (1, 1) and (4, 4) is:,3v2,3,v3,6,A,,,,,,,,,,,
MTS104,The point (0, 5) lies:,On the x-axis,On the y-axis,In the first quadrant,In the second quadrant,B,,,,,,,,,,,,
MTS104,The point (-4, 0) lies:,On the x-axis,On the y-axis,In the third quadrant,In the fourth quadrant,A,,,,,,,,,,,,
MTS104,The signs of coordinates in the second quadrant are:,(+, +),(-, +),(+, -),(-, -),B,,,,,,,,,
MTS104,The point (5, 5) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,A,,,,,,,,,,,,
MTS104,The perpendicular distance of (0, -2) from the x-axis is:,0,2,-2,v4,B,,,,,,,,,,,,
MTS104,The point (-3, -2) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,C,,,,,,,,,,,,
MTS104,The distance of (5, 0) from the y-axis is:,5,0,v25,3,A,,,,,,,,,,,,
MTS104,The point (4, 1) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,A,,,,,,,,,,,,
MTS104,The point (-2, -5) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,C,,,,,,,,,,,,
MTS104,The distance between (0, 0) and (3, 0) is:,3,4,5,6,A,,,,,,,,,,,
MTS104,The point (0, -3) lies:,On the x-axis,On the y-axis,In the third quadrant,In the fourth quadrant,B,,,,,,,,,,,,
MTS104,The point (2, 0) lies:,On the x-axis,On the y-axis,In the first quadrant,In the fourth quadrant,A,,,,,,,,,,,,
MTS104,The signs of coordinates in the first quadrant are:,(+, +),(-, +),(+, -),(-, -),A,,,,,,,,,
MTS104,The point (-1, 5) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,B,,,,,,,,,,,,
MTS104,The perpendicular distance of (3, -4) from the x-axis is:,3,4,-4,v25,C,,,,,,,,,,,,
MTS104,The point (-5, -3) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,C,,,,,,,,,,,,
MTS104,The distance of (0, 4) from the x-axis is:,0,4,v16,3,B,,,,,,,,,,,,
MTS104,The point (2, -2) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,D,,,,,,,,,,,,
MTS104,The point (-3, 2) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,B,,,,,,,,,,,,
MTS104,The distance between (0, 0) and (4, -3) is:,5,6,7,8,A,,,,,,,,,,,
MTS104,The point (0, 2) lies:,On the x-axis,On the y-axis,In the first quadrant,In the second quadrant,B,,,,,,,,,,,,
MTS104,The point (-6, 0) lies:,On the x-axis,On the y-axis,In the third quadrant,In the fourth quadrant,A,,,,,,,,,,,,
MTS104,The signs of coordinates in the third quadrant are:,(+, +),(-, +),(+, -),(-, -),D,,,,,,,,,
MTS104,The point (4, 4) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,A,,,,,,,,,,,,
MTS104,The perpendicular distance of (-2, 3) from the y-axis is:,2,-2,3,v13,A,,,,,,,,,,,,
MTS104,The point (-4, 1) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,B,,,,,,,,,,,,
MTS104,The distance of (0, -5) from the x-axis is:,0,5,-5,v25,B,,,,,,,,,,,,
MTS104,The point (3, -3) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,D,,,,,,,,,,,,
MTS104,The point (-2, 4) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,B,,,,,,,,,,,,
MTS104,The distance between (1, 0) and (0, 1) is:,v2,1,2,v3,A,,,,,,,,,,,
MTS104,The point (0, -4) lies:,On the x-axis,On the y-axis,In the third quadrant,In the fourth quadrant,B,,,,,,,,,,,,
MTS104,The point (5, 0) lies:,On the x-axis,On the y-axis,In the first quadrant,In the fourth quadrant,A,,,,,,,,,,,,
MTS104,The signs of coordinates in the fourth quadrant are:,(+, +),(-, +),(+, -),(-, -),C,,,,,,,,,
MTS104,The point (3, 2) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,A,,,,,,,,,,,,
MTS104,The perpendicular distance of (4, 3) from the y-axis is:,4,3,5,v25,A,,,,,,,,,,,,
MTS104,The point (-3, 5) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,B,,,,,,,,,,,,
MTS104,The distance of (3, 0) from the x-axis is:,0,3,v9,5,A,,,,,,,,,,,,
MTS104,The point (2, -4) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,D,,,,,,,,,,,,
MTS104,The point (-1, 3) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,B,,,,,,,,,,,,
MTS104,The distance between (2, 2) and (-2, -2) is:,4v2,4,v2,8,A,,,,,,,,,,,
MTS104,The point (0, 6) lies:,On the x-axis,On the y-axis,In the first quadrant,In the second quadrant,B,,,,,,,,,,,,
MTS104,The point (-4, 0) lies:,On the x-axis,On the y-axis,In the third quadrant,In the fourth quadrant,A,,,,,,,,,,,,
MTS104,The signs of coordinates in the second quadrant are:,(+, +),(-, +),(+, -),(-, -),B,,,,,,,,,
MTS104,The point (5, 4) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,A,,,,,,,,,,,,
MTS104,The perpendicular distance of (0, -3) from the x-axis is:,0,3,-3,v9,B,,,,,,,,,,,,
MTS104,The point (-4, -4) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,C,,,,,,,,,,,,
MTS104,The distance of (6, 0) from the y-axis is:,6,0,v36,3,A,,,,,,,,,,,,
MTS104,The point (4, 2) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,A,,,,,,,,,,,,
MTS104,The point (-3, -5) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,C,,,,,,,,,,,,
MTS104,The distance between (0, 0) and (5, 5) is:,5v2,5,v5,10,A,,,,,,,,,,,
MTS104,The point (0, -2) lies:,On the x-axis,On the y-axis,In the third quadrant,In the fourth quadrant,B,,,,,,,,,,,,
MTS104,The point (3, 0) lies:,On the x-axis,On the y-axis,In the first quadrant,In the fourth quadrant,A,,,,,,,,,,,,
MTS104,The signs of coordinates in the first quadrant are:,(+, +),(-, +),(+, -),(-, -),A,,,,,,,,,
MTS104,The point (-2, 4) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,B,,,,,,,,,,,,
MTS104,The perpendicular distance of (5, -4) from the x-axis is:,5,4,-4,v41,C,,,,,,,,,,,,
MTS104,The point (-5, -2) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,C,,,,,,,,,,,,
MTS104,The distance of (0, 3) from the x-axis is:,0,3,v9,5,B,,,,,,,,,,,,
MTS104,The point (2, -3) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,D,,,,,,,,,,,,
MTS104,What is the magnitude of the vector (5, 12)?,13,10,15,17,A,,,,,,,,,,,,
MTS104,Which vector is perpendicular to (2, 3)?,(-3, 2),(3, -2),(-2, 3),(2, -3),A,,,,,,,,
MTS104,The dot product of (1, 2) and (3, 4) is:,11,12,10,13,A,,,,,,,,,,,
MTS104,The cross product of (1,0, 0) and (0,1, 0) yields:,A vector,A scalar,A matrix,A zero,A,,,,,,,,,
MTS104,What is the unit vector in the direction of (4, 3)?,(4/5, 3/5),(3/5, 4/5),(4, 3),(5/4, 5/3),A,,,,,,,,
MTS104,The angle between vectors (1, 1) and (1, -1) is:,90°,45°,135°,180°,A,,,,,,,,,,,
MTS104,The scalar projection of (3, 4) onto (1, 0) is:,3,4,0,5,A,,,,,,,,,,,
MTS104,What is the equation of a line through (0, 0) with slope 2?,y = 2x,y = x,y = x/2,y = -2x,A,,,,,,,,,,,,
MTS104,The distance between points (2, 3) and (5, 7) is:,5,4,3,6,A,,,,,,,,,,,
MTS104,The area of a triangle with vertices (0, 0), (2, 0), (0, 2) is:,2,4,6,8,A,,,,,,,,
MTS104,The direction cosines of (3,0, 0) are:,(1,0, 0),(0,1, 0),(0,0, 1),(1/3,0, 0),A,,,
MTS104,The vector (2, 3) plus (1, 4) is:,(3, 7),(3, -1),(1, 7),(2, 4),A,,,,,,,
MTS104,The slope of a line perpendicular to y = 3x + 1 is:,-0.333333333,3,-3,3-Jan,A,,,,,,,,,,,,,
MTS104,The cross product of (2,3, 4) and (1,0, 0) is:,(0,-4, 3),(0,4, -3),(4,0, -3),(-4,0, 3),A,
MTS104,The equation of a circle with center (1, 1) and radius 2 is:,(x-1)² + (y-1)² = 4,x² + y² = 4,(x+1)² + (y+1)² = 4,x² + y² = 2,A,,,,,,,,,,,,
MTS104,The work done by force (1, 2) over displacement (3, 4) is:,11,10,12,9,A,,,,,,,,,,,
MTS104,The centroid of a triangle with vertices (1, 1), (3, 1), (1, 3) is:,(5/3, 5/3),(1, 1),(3, 3),(2, 2),A,,,,
MTS104,The vector (4,5, 6) minus (1,2, 3) is:,(3,3, 3),(4,5, 6),(1,2, 3),(5,6, 7),A,
MTS104,The magnitude of the vector (0,4, 3) is:,5,6,7,8,A,,,,,,,,,,,
MTS104,The parametric equations of a line through (1, 2) with direction (1, 1) are:,x = t + 1, y = t + 2,x = t, y = t,x = t + 1, y = t,x = t, y = t + 2,A,,,,,,,
MTS104,The angle between (0,1, 0) and (0,0, 1) is:,90°,0°,45°,180°,A,,,,,,,,,
MTS104,The scalar triple product gives the:,Volume of parallelepiped,Area of triangle,Length of vector,Angle between vectors,A,,,,,,,,,,,,,
MTS104,The distance from (1, 1) to the line x + y = 0 is:,v2/2,1,v2,0,A,,,,,,,,,,,,
MTS104,The vector projection of (2, 2) onto (1, 0) is:,(2, 0),(0, 2),(1, 0),(0, 1),A,,,,,,,
MTS104,The slope of a line parallel to y = -2x + 3 is:,-2,2,2-Jan,-0.5,A,,,,,,,,,,,,,
MTS104,The magnitude of the cross product |a × b| is zero when:,a and b are parallel,a and b are perpendicular,a = b,a = 0,A,,,,,,,,,,,,,
MTS104,The direction cosines of (1,1, 1) are:,(1/v3, 1/v3, 1/v3),(1,1, 1),(1/3, 1/3, 1/3),(v3, v3, v3),A,,,
MTS104,The equation of a plane through (0,0, 0) normal to (1,0, 0) is:,x = 0,y = 0,z = 0,x + y + z = 0,A,,,,,,,,,
MTS104,The area of a parallelogram with adjacent sides (2, 0) and (0, 3) is:,6,4,2,8,A,,,,,,,,,,,
MTS104,The unit vector perpendicular to (1, 0) is:,(0, 1),(1, 0),(-1, 0),(0, -1),A,,,,,,,,
MTS104,The distance between parallel lines y = x + 2 and y = x + 4 is:,v2,2,1,v3,A,,,,,,,,,,,,,
MTS104,The dot product of (2,3, 4) and (1,0, 0) is:,2,3,4,5,A,,,,,,,,,
MTS104,The vector (1,2, 3) scaled by 2 is:,(2,4, 6),(1,2, 3),(2,2, 3),(1,4, 6),A,,,
MTS104,The equation of a line through (2, 3) with slope 1 is:,y = x + 1,y = x + 2,y = x + 3,y = 2x + 1,A,,,,,,,,,,,,
MTS104,The magnitude of (5,0, 12) is:,13,14,15,16,A,,,,,,,,,,,
MTS104,The vector normal to the plane z = 0 is:,(0,0, 1),(1,0, 0),(0,1, 0),(1,1, 0),A,,,,,
MTS104,The work done by force (2, 0) over displacement (1, 1) is:,2,0,1,3,A,,,,,,,,,,,
MTS104,The centroid of triangle with vertices (0, 0), (4, 0), (0, 4) is:,(4/3, 4/3),(0, 0),(4, 4),(2, 2),A,,,,
