course,question,optionA,optionB,optionC,optionD,correctAnswer,,,,
CSC102,Which of the following is an output device?,Scanner,Monitor,Keyboard,Mouse,B,,,,
CSC102,What is the purpose of a compiler?,Execute code,Translate high-level code to machine code,Debug code,Store data,B,,,,
CSC102,What is the octal equivalent of the decimal number 83?,123,124,125,126,A,,,,
CSC102,Which of the following is NOT a type of software?,System software,Application software,Hardware software,Utility software,C,,,,
CSC102,What is the main purpose of a database management system?,To create web pages,To manage data,To compile code,To design algorithms,B,,,,
CSC102,What is the hexadecimal equivalent of the binary number 10101010?,AA,AB,AC,AD,A,,,,
CSC102,Which of the following is a first-generation computer?,IBM 360,ENIAC,UNIVAC,IBM 1401,B,,,,
CSC102,What does the acronym IDE stand for?,Integrated Design Environment,Integrated Development Environment,Interior Design Environment,Industrial Development Environment,B,,,,
CSC102,Which of the following is NOT a valid data type in Visual Basic?,Integer,Double,String,Float,C,,,,
CSC102,What is the binary equivalent of the hexadecimal number 1F?,11111,11110,11101,11011,A,,,,
CSC102,Which of the following is a characteristic of second-generation computers?,Used vacuum tubes,Used transistors,Used integrated circuits,Used microprocessors,B,,,,
CSC102,What is the purpose of a subroutine in programming?,To return a value,To perform a specific task without returning a value,To compile code,To manage memory,B,,,,
CSC102,What is the decimal equivalent of the octal number 77?,63,62,61,60,A,,,,
CSC102,Which of the following is an example of a high-level language?,Machine language,Assembly language,Python,Binary code,C,,,,
CSC102,What is the purpose of the control unit in a CPU?,Perform arithmetic operations,Manage data storage,Direct the operation of the processor,Store instructions,C,,,,
CSC102,What is the hexadecimal equivalent of the octal number 123?,53,54,55,56,A,,,,
CSC102,Which of the following is NOT a type of computer based on signal type?,Analog,Digital,Hybrid,Super breed,C,,,,
CSC102,What is the binary equivalent of the decimal number 100?,1100100,1100010,1010100,1010010,A,,,,
CSC102,Which of the following is a feature of a spreadsheet?,Database management,Word processing,Grid of rows and columns,Photo editing,C,,,,
CSC102,What does the acronym WAN stand for?,Wide Area Network,Wireless Access Network,WAP Area Network,Wide Array Network,A,,,,
CSC102,Which of the following is NOT a component of the CPU?,ALU,Control Unit,Main Memory,Registers,C,,,,
CSC102,What is the octal equivalent of the binary number 111100?,74,75,76,77,A,,,,
CSC102,Which of the following is an example of a special-purpose computer?,Personal computer,ATM,Mainframe,Server,B,,,,
CSC102,What is the purpose of a foreign key in a database?,Uniquely identify a record,Link tables,Store data,Manage queries,B,,,,
CSC102,What is the decimal equivalent of the hexadecimal number A5?,165,166,167,168,A,,,,
CSC102,Which of the following is a valid loop structure in VBA?,For...Next,If...Then,Select...Case,Sub...End Sub,A,,,,
CSC102,What is the binary equivalent of the octal number 17?,001111,011111,1111,10111,A,,,,
CSC102,Which of the following is NOT a type of error in programming?,Syntax error,Logic error,Run-time error,Declaration error,C,,,,
CSC102,What is the hexadecimal equivalent of the decimal number 42?,2A,2B,2C,2D,A,,,,
CSC102,Which of the following is a characteristic of third-generation computers?,Used vacuum tubes,Used transistors,Used integrated circuits,Used microprocessors,C,,,,
CSC102,What is the purpose of a primary key in a database?,Link tables,Uniquely identify a record,Store data,Manage queries,B,,,,
CSC102,What is the binary equivalent of the decimal number 7?,111,110,101,100,A,,,,
CSC102,Which of the following is an example of system software?,Microsoft Word,Operating system,Web browser,Spreadsheet,B,,,,
CSC102,What is the octal equivalent of the hexadecimal number 2F?,47,48,49,50,A,,,,
CSC102,Which of the following is a feature of fourth-generation computers?,Used vacuum tubes,Used transistors,Used integrated circuits,Used microprocessors,D,,,,
CSC102,What is the decimal equivalent of the binary number 1111?,15,14,13,12,A,,,,
CSC102,Which of the following is NOT a function of a word processor?,Mail merge,Sending email,Borders and shading,Macros,B,,,,
CSC102,What is the hexadecimal equivalent of the binary number 11001100?,CC,CD,CE,CF,A,,,,
CSC102,Which of the following is a characteristic of a mainframe computer?,Low processing speed,Supports multi-user facility,Single-user system,Small size,B,,,,
CSC102,What is the binary equivalent of the octal number 33?,011011,110011,0011011,110110,C,,,,
CSC102,Which of the following is an example of a peripheral device?,CPU,RAM,Monitor,ALU,C,,,,
CSC102,What is the decimal equivalent of the hexadecimal number FF?,255,254,253,252,A,,,,
CSC102,Which of the following is a valid VBA control structure?,Do...Loop,If...Else,For...Next,All of the above,D,,,,
CSC102,What is the octal equivalent of the decimal number 100?,144,145,146,147,A,,,,
CSC102,Which of the following is NOT a type of computer based on purpose?,General-purpose,Special-purpose,Hybrid,Analog,C,,,,
CSC102,What is the binary equivalent of the hexadecimal number 3C?,00111100,111100,110011,00110011,A,,,,
CSC102,Which of the following is a characteristic of fifth-generation computers?,Use of vacuum tubes,Use of artificial intelligence,Use of transistors,Use of integrated circuits,B,,,,
CSC102,What is the decimal equivalent of the octal number 123?,83,84,85,86,A,,,,
CSC102,Which of the following is an example of a high-level programming language?,C++,Assembly,Machine language,Binary code,A,,,,
CSC102,What is the hexadecimal equivalent of the binary number 1011?,B,A,C,D,A,,,,
CSC102,Which of the following is NOT a component of Microsoft Office?,Excel,Word,PowerPoint,Windows,B,,,,
CSC102,What is the binary equivalent of the decimal number 50?,110010,110011,110100,110101,A,,,,
CSC102,Which of the following is a feature of a database?,Stores data in tables,Manages hardware,Compiles code,Designs algorithms,A,,,,
CSC102,What is the octal equivalent of the hexadecimal number 1A?,32,33,34,35,A,,,,
CSC102,Which of the following is a valid VBA statement for displaying a message box?,MsgBox,TextBox,InputBox,ValueBox,A,,,,
CSC102,What is the decimal equivalent of the binary number 10000?,16,15,14,13,A,,,,
CSC102,Which of the following is NOT a type of flowchart symbol?,Oval,Rectangle,Triangle,Parallelogram,C,,,,
CSC102,What is the hexadecimal equivalent of the octal number 77?,3F,40,41,42,A,,,,
CSC102,Which of the following is a characteristic of a microcomputer?,High processing speed,Multi-user facility,Small size,Large storage capacity,C,,,,
CSC102,What is the binary equivalent of the decimal number 128?,10000000,10000001,10000010,10000011,A,,,,
CSC102,Which of the following is an example of a storage device?,Monitor,Hard disk,Keyboard,Mouse,B,,,,
CSC102,What is the decimal equivalent of the hexadecimal number 1C?,28,29,30,31,A,,,,
CSC102,Which of the following is a valid VBA loop structure?,While...Wend,For...Next,Do...Loop,All of the above,D,,,,
CSC102,What is the octal equivalent of the binary number 1000000?,100,101,102,103,A,,,,
CSC102,Which of the following is NOT a type of computer based on capacity?,Microcomputer,Minicomputer,Mainframe,Hybrid,D,,,,
CSC102,What is the binary equivalent of the hexadecimal number 4B?,01001011,01001100,01001101,01001110,A,,,,
CSC102,Which of the following is a feature of Visual Basic?,Object-oriented,Low-level,Machine-dependent,Non-event-driven,A,,,,
CSC102,What is the decimal equivalent of the octal number 200?,128,129,130,131,A,,,,
CSC102,Which of the following is an example of a low-level language?,Python,C++,Assembly,Java,C,,,,
CSC102,What is the hexadecimal equivalent of the binary number 11100000?,E0,E1,E2,E3,A,,,,
CSC102,Which of the following is a function of a spreadsheet?,Data analysis,Word processing,Image editing,Hardware management,A,,,,
CSC102,What is the binary equivalent of the decimal number 255?,11111111,11111110,11111101,11111100,A,,,,
CSC102,Which of the following is NOT a feature of a computer?,Speed,Accuracy,Storage,Complexity,D,,,,
CSC102,What is the octal equivalent of the hexadecimal number 5A?,132,133,134,135,A,,,,
CSC102,Which of the following is a valid VBA data type?,Integer,String,Double,All of the above,D,,,,
CSC102,What is the decimal equivalent of the binary number 110011?,51,50,49,48,A,,,,
CSC102,Which of the following is an example of a hybrid computer?,Personal computer,Process control computer,Mainframe,Server,B,,,,
CSC102,What is the hexadecimal equivalent of the octal number 45?,25,26,27,28,A,,,,
CSC102,Which of the following is NOT a function of an operating system?,Memory management,Process management,Word processing,File management,C,,,,
CSC102,What is the binary equivalent of the decimal number 64?,1000000,1000001,1000010,1000011,A,,,,
CSC102,Which of the following is a characteristic of a mainframe computer?,Small size,Single-user system,High processing speed,Low storage capacity,C,,,,
CSC102,What is the decimal equivalent of the hexadecimal number 7F?,127,126,125,124,A,,,,
CSC102,Which of the following is a valid VBA control structure?,If...Then,For...Next,Do...Loop,All of the above,D,,,,
CSC102,What is the octal equivalent of the binary number 101010?,52,53,54,55,A,,,,
CSC102,Which of the following is NOT a type of computer based on signal type?,Analog,Digital,Hybrid,Supercomputer,D,,,,
CSC102,What is the binary equivalent of the hexadecimal number 2D?,00101101,00101100,00101011,00101010,A,,,,
CSC102,Which of the following is a feature of a database management system?,Stores data in tables,Compiles code,Manages hardware,Designs algorithms,A,,,,
CSC102,What is the decimal equivalent of the octal number 77?,63,62,61,60,A,,,,
CSC102,Which of the following is an example of a high-level language?,C++,Assembly,Machine language,Binary code,A,,,,
CSC102,What is the hexadecimal equivalent of the binary number 1011?,B,A,C,D,A,,,,
CSC102,Which of the following is NOT a component of Microsoft Office?,Excel,Word,PowerPoint,Windows,B,,,,
CSC102,What is the binary equivalent of the decimal number 50?,110010,110011,110100,110101,A,,,,
CSC102,Which of the following is a feature of a spreadsheet?,Database management,Word processing,Grid of rows and columns,Photo editing,C,,,,
CSC102,What is the octal equivalent of the hexadecimal number 1A?,32,33,34,35,A,,,,
CSC102,Which of the following is a valid VBA statement for displaying a message box?,MsgBox,TextBox,InputBox,ValueBox,A,,,,
CSC102,What is the decimal equivalent of the binary number 10000?,16,15,14,13,A,,,,
CSC102,Which of the following is NOT a type of flowchart symbol?,Oval,Rectangle,Triangle,Parallelogram,C,,,,
CSC102,What is the hexadecimal equivalent of the octal number 77?,3F,40,41,42,A,,,,
CSC102,Which of the following is a characteristic of a microcomputer?,High processing speed,Multi-user facility,Small size,Large storage capacity,C,,,,
CSC102,What is the binary equivalent of the decimal number 128?,10000000,10000001,10000010,10000011,A,,,,
CSC102,Which of the following is an example of a storage device?,Monitor,Hard disk,Keyboard,Mouse,B,,,,
CSC102,What is the decimal equivalent of the hexadecimal number 1C?,28,29,30,31,A,,,,
CSC102,Which of the following is a valid VBA loop structure?,While...Wend,For...Next,Do...Loop,All of the above,D,,,,
CSC102,What is the octal equivalent of the binary number 1000000?,100,101,102,103,A,,,,
CSC102,Which of the following is NOT a type of computer based on capacity?,Microcomputer,Minicomputer,Mainframe,Hybrid,D,,,,
CSC102,What is the binary equivalent of the hexadecimal number 4B?,01001011,01001100,01001101,01001110,A,,,,
CSC102,Which of the following is a feature of Visual Basic?,Object-oriented,Low-level,Machine-dependent,Non-event-driven,A,,,,
CSC102,What is the decimal equivalent of the octal number 200?,128,129,130,131,A,,,,
CSC102,Which of the following is an example of a low-level language?,Python,C++,Assembly,Java,C,,,,
CSC102,What is the hexadecimal equivalent of the binary number 11100000?,E0,E1,E2,E3,A,,,,
CSC102,Which of the following is a function of a spreadsheet?,Data analysis,Word processing,Image editing,Hardware management,A,,,,
CSC102,What is the binary equivalent of the decimal number 255?,11111111,11111110,11111101,11111100,A,,,,
CSC102,Which of the following is NOT a feature of a computer?,Speed,Accuracy,Storage,Complexity,D,,,,
CSC102,What is the octal equivalent of the hexadecimal number 5A?,132,133,134,135,A,,,,
CSC102,Which of the following is a valid VBA data type?,Integer,String,Double,All of the above,D,,,,
CSC102,What is the decimal equivalent of the binary number 110011?,51,50,49,48,A,,,,
CSC102,Which of the following is an example of a hybrid computer?,Personal computer,Process control computer,Mainframe,Server,B,,,,
CSC102,What is the hexadecimal equivalent of the octal number 45?,25,26,27,28,A,,,,
CSC102,Which of the following is NOT a function of an operating system?,Memory management,Process management,Word processing,File management,C,,,,
CSC102,What is the binary equivalent of the decimal number 64?,1000000,1000001,1000010,1000011,A,,,,
CSC102,Which of the following is a characteristic of a mainframe computer?,Small size,Single-user system,High processing speed,Low storage capacity,C,,,,
CSC102,What is the decimal equivalent of the hexadecimal number 7F?,127,126,125,124,A,,,,
CSC102,Which of the following is a valid VBA control structure?,If...Then,For...Next,Do...Loop,All of the above,D,,,,
CSC102,What is the octal equivalent of the binary number 101010?,52,53,54,55,A,,,,
CSC102,Which of the following is NOT a type of computer based on signal type?,Analog,Digital,Hybrid,Supercomputer,D,,,,
CSC102,What is the binary equivalent of the hexadecimal number 2D?,00101101,00101100,00101011,00101010,A,,,,
CSC102,Which of the following is a feature of a database management system?,Stores data in tables,Compiles code,Manages hardware,Designs algorithms,A,,,,
CSC102,What is the decimal equivalent of the octal number 77?,63,62,61,60,A,,,,
CSC102,Which of the following is an example of a high-level language?,C++,Assembly,Machine language,Binary code,A,,,,
CSC102,What is the hexadecimal equivalent of the binary number 1011?,B,A,C,D,A,,,,
CSC102,Which of the following is NOT a component of Microsoft Office?,Excel,Word,PowerPoint,Windows,B,,,,
CSC102,What is the binary equivalent of the decimal number 50?,110010,110011,110100,110101,A,,,,
CSC102,Which of the following is a feature of a spreadsheet?,Database management,Word processing,Grid of rows and columns,Photo editing,C,,,,
CSC102,What is the octal equivalent of the hexadecimal number 1A?,32,33,34,35,A,,,,
CSC102,Which of the following is a valid VBA statement for displaying a message box?,MsgBox,TextBox,InputBox,ValueBox,A,,,,
CSC102,What is the decimal equivalent of the binary number 10000?,16,15,14,13,A,,,,
CSC102,Which of the following is NOT a type of flowchart symbol?,Oval,Rectangle,Triangle,Parallelogram,C,,,,
CSC102,What is the hexadecimal equivalent of the octal number 77?,3F,40,41,42,A,,,,
CSC102,Which of the following is a characteristic of a microcomputer?,High processing speed,Multi-user facility,Small size,Large storage capacity,C,,,,
CSC102,What is the binary equivalent of the decimal number 128?,10000000,10000001,10000010,10000011,A,,,,
CSC102,Which of the following is an example of a storage device?,Monitor,Hard disk,Keyboard,Mouse,B,,,,
CSC102,What is the decimal equivalent of the hexadecimal number 1C?,28,29,30,31,A,,,,
CSC102,Which of the following is a valid VBA loop structure?,While...Wend,For...Next,Do...Loop,All of the above,D,,,,
CSC102,What is the octal equivalent of the binary number 1000000?,100,101,102,103,A,,,,
CSC102,Which of the following is NOT a type of computer based on capacity?,Microcomputer,Minicomputer,Mainframe,Hybrid,D,,,,
CSC102,What is the binary equivalent of the hexadecimal number 4B?,01001011,01001100,01001101,01001110,A,,,,
CSC102,Which of the following is a feature of Visual Basic?,Object-oriented,Low-level,Machine-dependent,Non-event-driven,A,,,,
CSC102,What is the decimal equivalent of the octal number 200?,128,129,130,131,A,,,,
CSC102,Which of the following is an example of a low-level language?,Python,C++,Assembly,Java,C,,,,
CSC102,What is the hexadecimal equivalent of the binary number 11100000?,E0,E1,E2,E3,A,,,,
CSC102,Which of the following is a function of a spreadsheet?,Data analysis,Word processing,Image editing,Hardware management,A,,,,
CSC102,What is the binary equivalent of the decimal number 255?,11111111,11111110,11111101,11111100,A,,,,
CSC102,Which of the following is NOT a feature of a computer?,Speed,Accuracy,Storage,Complexity,D,,,,
CSC102,What is the octal equivalent of the hexadecimal number 5A?,132,133,134,135,A,,,,
CSC102,Which of the following is a valid VBA data type?,Integer,String,Double,All of the above,D,,,,
CSC102,What is the decimal equivalent of the binary number 110011?,51,50,49,48,A,,,,
CSC102,Which of the following is an example of a hybrid computer?,Personal computer,Process control computer,Mainframe,Server,B,,,,
CSC102,What is the hexadecimal equivalent of the octal number 45?,25,26,27,28,A,,,,
CSC102,Which of the following is NOT a function of an operating system?,Memory management,Process management,Word processing,File management,C,,,,
CSC102,What is the binary equivalent of the decimal number 64?,1000000,1000001,1000010,1000011,A,,,,
CSC102,Which of the following is a characteristic of a mainframe computer?,Small size,Single-user system,High processing speed,Low storage capacity,C,,,,
CSC102,What is the decimal equivalent of the hexadecimal number 7F?,127,126,125,124,A,,,,
CSC102,Which of the following is a valid VBA control structure?,If...Then,For...Next,Do...Loop,All of the above,D,,,,
CSC102,What is the octal equivalent of the binary number 101010?,52,53,54,55,A,,,,
CSC102,Which of the following is NOT a type of computer based on signal type?,Analog,Digital,Hybrid,Supercomputer,D,,,,
CSC102,What is the binary equivalent of the hexadecimal number 2D?,00101101,00101100,00101011,00101010,A,,,,
CSC102,Which of the following is a feature of a database management system?,Stores data in tables,Compiles code,Manages hardware,Designs algorithms,A,,,,
CSC102,What is the decimal equivalent of the octal number 77?,63,62,61,60,A,,,,
CSC102,Which of the following is an example of a high-level language?,C++,Assembly,Machine language,Binary code,A,,,,
CSC102,What is the hexadecimal equivalent of the binary number 1011?,B,A,C,D,A,,,,
CSC102,Which of the following is NOT a component of Microsoft Office?,Excel,Word,PowerPoint,Windows,B,,,,
CSC102,What is the binary equivalent of the decimal number 50?,110010,110011,110100,110101,A,,,,
CSC102,Which of the following is a feature of a spreadsheet?,Database management,Word processing,Grid of rows and columns,Photo editing,C,,,,
CSC102,What is the octal equivalent of the hexadecimal number 1A?,32,33,34,35,A,,,,
CSC102,Which of the following is a valid VBA statement for displaying a message box?,MsgBox,TextBox,InputBox,ValueBox,A,,,,
CSC102,What is the decimal equivalent of the binary number 10000?,16,15,14,13,A,,,,
CSC102,Which of the following is NOT a type of flowchart symbol?,Oval,Rectangle,Triangle,Parallelogram,C,,,,
CSC102,What is the hexadecimal equivalent of the octal number 77?,3F,40,41,42,A,,,,
CSC102,Which of the following is a characteristic of a microcomputer?,High processing speed,Multi-user facility,Small size,Large storage capacity,C,,,,
CSC102,What is the binary equivalent of the decimal number 128?,10000000,10000001,10000010,10000011,A,,,,
CSC102,Which of the following is an example of a storage device?,Monitor,Hard disk,Keyboard,Mouse,B,,,,
CSC102,What is the decimal equivalent of the hexadecimal number 1C?,28,29,30,31,A,,,,
CSC102,Which of the following is a valid VBA loop structure?,While...Wend,For...Next,Do...Loop,All of the above,D,,,,
CSC102,What is the octal equivalent of the binary number 1000000?,100,101,102,103,A,,,,
CSC102,Which of the following is NOT a type of computer based on capacity?,Microcomputer,Minicomputer,Mainframe,Hybrid,D,,,,
CSC102,What is the binary equivalent of the hexadecimal number 4B?,01001011,01001100,01001101,01001110,A,,,,
CSC102,Which of the following is a feature of Visual Basic?,Object-oriented,Low-level,Machine-dependent,Non-event-driven,A,,,,
CSC102,What is the decimal equivalent of the octal number 200?,128,129,130,131,A,,,,
CSC102,Which of the following is an example of a low-level language?,Python,C++,Assembly,Java,C,,,,
CSC102,What is the hexadecimal equivalent of the binary number 11100000?,E0,E1,E2,E3,A,,,,
CSC102,Which of the following is a function of a spreadsheet?,Data analysis,Word processing,Image editing,Hardware management,A,,,,
CSC102,What is the binary equivalent of the decimal number 255?,11111111,11111110,11111101,11111100,A,,,,
CSC102,Which of the following is NOT a feature of a computer?,Speed,Accuracy,Storage,Complexity,D,,,,
CSC102,What is the octal equivalent of the hexadecimal number 5A?,132,133,134,135,A,,,,
CSC102,Which of the following is a valid VBA data type?,Integer,String,Double,All of the above,D,,,,
CSC102,What is the decimal equivalent of the binary number 110011?,51,50,49,48,A,,,,
CSC102,Which of the following is an example of a hybrid computer?,Personal computer,Process control computer,Mainframe,Server,B,,,,
CSC102,What is the hexadecimal equivalent of the octal number 45?,25,26,27,28,A,,,,
CSC102,Which of the following is NOT a function of an operating system?,Memory management,Process management,Word processing,File management,C,,,,
CSC102,What is the binary equivalent of the decimal number 64?,1000000,1000001,1000010,1000011,A,,,,
CSC102,Which of the following is a characteristic of a mainframe computer?,Small size,Single-user system,High processing speed,Low storage capacity,C,,,,
CSC102,What is the decimal equivalent of the hexadecimal number 7F?,127,126,125,124,A,,,,
CSC102,Which of the following is a valid VBA control structure?,If...Then,For...Next,Do...Loop,All of the above,D,,,,
CSC102,What is the octal equivalent of the binary number 101010?,52,53,54,55,A,,,,
CSC102,Which of the following is NOT a type of computer based on signal type?,Analog,Digital,Hybrid,Supercomputer,D,,,,
CSC102,What is the binary equivalent of the hexadecimal number 2D?,00101101,00101100,00101011,00101010,A,,,,
CSC102,Which of the following is a feature of a database management system?,Stores data in tables,Compiles code,Manages hardware,Designs algorithms,A,,,,
CSC102,What is the decimal equivalent of the octal number 77?,63,62,61,60,A,,,,
CSC102,Which of the following is an example of a high-level language?,C++,Assembly,Machine language,Binary code,A,,,,
CSC102,What is the hexadecimal equivalent of the binary number 1011?,B,A,C,D,A,,,,
CSC102,Which of the following is NOT a component of Microsoft Office?,Excel,Word,PowerPoint,Windows,B,,,,
CSC102,What is the binary equivalent of the decimal number 50?,110010,110011,110100,110101,A,,,,
CSC102,Which of the following is a feature of a spreadsheet?,Database management,Word processing,Grid of rows and columns,Photo editing,C,,,,
CSC102,What is the octal equivalent of the hexadecimal number 1A?,32,33,34,35,A,,,,
CSC102,Which of the following is a valid VBA statement for displaying a message box?,MsgBox,TextBox,InputBox,ValueBox,A,,,,
CSC102,What is the decimal equivalent of the binary number 10000?,16,15,14,13,A,,,,
CSC102,Which of the following is NOT a type of flowchart symbol?,Oval,Rectangle,Triangle,Parallelogram,C,,,,
CSC102,What is the hexadecimal equivalent of the octal number 77?,3F,40,41,42,A,,,,
CSC102,Which of the following is a characteristic of a microcomputer?,High processing speed,Multi-user facility,Small size,Large storage capacity,C,,,,
CSC102,What is the binary equivalent of the decimal number 128?,10000000,10000001,10000010,10000011,A,,,,
CSC102,Which of the following is an example of a storage device?,Monitor,Hard disk,Keyboard,Mouse,B,,,,
CSC102,What is the decimal equivalent of the hexadecimal number 1C?,28,29,30,31,A,,,,
CSC102,Which of the following is a valid VBA loop structure?,While...Wend,For...Next,Do...Loop,All of the above,D,,,,
CSC102,What is the octal equivalent of the binary number 1000000?,100,101,102,103,A,,,,
CSC102,Which of the following is NOT a type of computer based on capacity?,Microcomputer,Minicomputer,Mainframe,Hybrid,D,,,,
CSC102,What is the binary equivalent of the hexadecimal number 4B?,01001011,01001100,01001101,01001110,A,,,,
CSC102,Which of the following is a feature of Visual Basic?,Object-oriented,Low-level,Machine-dependent,Non-event-driven,A,,,,
CSC102,What is the decimal equivalent of the octal number 200?,128,129,130,131,A,,,,
CSC102,Which of the following is an example of a low-level language?,Python,C++,Assembly,Java,C,,,,
CSC102,What is the hexadecimal equivalent of the binary number 11100000?,E0,E1,E2,E3,A,,,,
CSC102,Which of the following is a function of a spreadsheet?,Data analysis,Word processing,Image editing,Hardware management,A,,,,
CSC102,What is the binary equivalent of the decimal number 255?,11111111,11111110,11111101,11111100,A,,,,
CSC102,Which of the following is NOT a feature of a computer?,Speed,Accuracy,Storage,Complexity,D,,,,
CSC102,What is the octal equivalent of the hexadecimal number 5A?,132,133,134,135,A,,,,
CSC102,Which of the following is a valid VBA data type?,Integer,String,Double,All of the above,D,,,,
CSC102,What is the decimal equivalent of the binary number 110011?,51,50,49,48,A,,,,
CSC102,Which of the following is an example of a hybrid computer?,Personal computer,Process control computer,Mainframe,Server,B,,,,
CSC102,What is the hexadecimal equivalent of the octal number 45?,25,26,27,28,A,,,,
CSC102,Which of the following is NOT a function of an operating system?,Memory management,Process management,Word processing,File management,C,,,,
CSC102,What is the binary equivalent of the decimal number 64?,1000000,1000001,1000010,1000011,A,,,,
CSC102,Which of the following is a characteristic of a mainframe computer?,Small size,Single-user system,High processing speed,Low storage capacity,C,,,,
CSC102,What is the decimal equivalent of the hexadecimal number 7F?,127,126,125,124,A,,,,
CSC102,Which of the following is a valid VBA control structure?,If...Then,For...Next,Do...Loop,All of the above,D,,,,
CSC102,What is the octal equivalent of the binary number 101010?,52,53,54,55,A,,,,
CSC102,Which of the following is NOT a type of computer based on signal type?,Analog,Digital,Hybrid,Supercomputer,D,,,,
CSC102,What is the binary equivalent of the hexadecimal number 2D?,00101101,00101100,00101011,00101010,A,,,,
CSC102,Which of the following is a feature of a database management system?,Stores data in tables,Compiles code,Manages hardware,Designs algorithms,A,,,,
CSC102,What is the decimal equivalent of the octal number 77?,63,62,61,60,A,,,,
CSC102,Which of the following is an example of a high-level language?,C++,Assembly,Machine language,Binary code,A,,,,
CSC102,What is the hexadecimal equivalent of the binary number 1011?,B,A,C,D,A,,,,
CSC102,Which of the following is NOT a component of Microsoft Office?,Excel,Word,PowerPoint,Windows,B,,,,
CSC102,What is the binary equivalent of the decimal number 50?,110010,110011,110100,110101,A,,,,
CSC102,Which of the following is a feature of a spreadsheet?,Database management,Word processing,Grid of rows and columns,Photo editing,C,,,,
